,January,February,District,Year,Oct_District,October,Oct_Year,November,December
80,0.4457476,0.3953102,BHARATPUR,2012,BHARATPUR,0.2312537,2012,0.2484364,0.3393641
81,0.4016305,0.4207996,BHARATPUR,2013,BHARATPUR,0.233049,2013,0.1989626,0.3451614
82,0.4560652,0.4548802,BHARATPUR,2014,BHARATPUR,0.2025212,2014,0.2051902,0.3069875
83,0.4355169,0.453435,BHARATPUR,2015,BHARATPUR,0.1847159,2015,0.1675649,0.3572177
84,0.4395814,0.4128678,BHARATPUR,2016,BHARATPUR,0.1797172,2016,0.2359066,0.3466009
85,0.4261845,0.4064759,BHARATPUR,2017,BHARATPUR,0.1573184,2017,0.1990712,0.3238293
86,0.4043827,0.4067947,BHARATPUR,2018,BHARATPUR,0.199254,2018,0.2501979,0.3914555
87,0.1683155,0.1636727,BHILWARA,2001,BHILWARA,0.2002172,2001,0.1730943,0.1796601
88,0.1961662,0.1950052,BHILWARA,2002,BHILWARA,0.1759281,2002,0.1452908,0.1405209
89,0.1417447,0.1401523,BHILWARA,2003,BHILWARA,0.2242122,2003,0.1727433,0.1707595
90,0.1719976,0.1696785,BHILWARA,2004,BHILWARA,0.2312761,2004,0.1852336,0.1959708
91,0.2102038,0.2009228,BHILWARA,2005,BHILWARA,0.2687941,2005,0.1948918,0.1957027
92,0.2020963,0.1874251,BHILWARA,2006,BHILWARA,0.2446579,2006,0.1970874,0.2111198
93,0.2323955,0.2238619,BHILWARA,2007,BHILWARA,0.2533279,2007,0.195419,0.1975657
94,0.2045129,0.2001473,BHILWARA,2008,BHILWARA,0.2127937,2008,0.1876891,0.1919375
95,0.1912648,0.1732583,BHILWARA,2009,BHILWARA,0.2060489,2009,0.1603567,0.1642292
96,0.1648003,0.1464269,BHILWARA,2010,BHILWARA,0.2696715,2010,0.1949389,0.1870513
97,0.1648003,0.1464269,BHILWARA,2010,BHILWARA,0.2696715,2010,0.1949389,0.1870513
98,0.1648003,0.1464269,BHILWARA,2010,BHILWARA,0.2696715,2010,0.1949389,0.1870513
99,0.1648003,0.1464269,BHILWARA,2010,BHILWARA,0.2696715,2010,0.1949389,0.1870513
100,0.2214301,0.2568183,BHILWARA,2011,BHILWARA,0.2746866,2011,0.2141248,0.2090705
101,0.2240136,0.2225617,BHILWARA,2012,BHILWARA,0.3286091,2012,0.2194434,0.2131717
102,0.2282506,0.2548434,BHILWARA,2013,BHILWARA,0.2964736,2013,0.2437679,0.2526894
103,0.2484094,0.2769158,BHILWARA,2014,BHILWARA,0.2854588,2014,0.2224589,0.223991
104,0.2417801,0.2507089,BHILWARA,2015,BHILWARA,0.2471243,2015,0.2020796,0.1983917
105,0.2097706,0.2033038,BHILWARA,2016,BHILWARA,0.2516566,2016,0.2114384,0.220301
106,0.263602,0.2508416,BHILWARA,2017,BHILWARA,0.2608222,2017,0.2167368,0.2135437
107,0.2261764,0.2149284,BHILWARA,2018,BHILWARA,0.3256877,2018,0.2369427,0.2182442
108,0.2231531,0.2400022,BHILWARA,2019,BHILWARA,0.3097418,2019,0.2414505,0.225329
109,0.0854217,0.0829839,BIKANER,2001,BIKANER,0.1180337,2001,0.0985571,0.0922558
110,0.0910359,0.0909416,BIKANER,2002,BIKANER,0.0772591,2002,0.0729058,0.0711026
111,0.0722372,0.0793322,BIKANER,2003,BIKANER,0.1372815,2003,0.1071721,0.0961452
112,0.0880571,0.0887176,BIKANER,2004,BIKANER,0.0940377,2004,0.0844066,0.0789506
113,0.0772113,0.0799833,BIKANER,2005,BIKANER,0.1082,2005,0.0899654,0.0840133
114,0.0826417,0.0889013,BIKANER,2006,BIKANER,0.0942552,2006,0.0849139,0.0824041
115,0.084585,0.0900554,BIKANER,2007,BIKANER,0.1197798,2007,0.0945048,0.0885271
116,0.085751,0.0865011,BIKANER,2008,BIKANER,0.1195378,2008,0.1012771,0.0952503
117,0.0901442,0.0945195,BIKANER,2009,BIKANER,0.0913234,2009,0.0806624,0.079559
118,0.0782671,0.082397,BIKANER,2010,BIKANER,0.1722004,2010,0.1315072,0.110986
119,0.0782671,0.082397,BIKANER,2010,BIKANER,0.1722004,2010,0.1315072,0.110986
120,0.0782671,0.082397,BIKANER,2010,BIKANER,0.1722004,2010,0.1315072,0.110986
121,0.0782671,0.082397,BIKANER,2010,BIKANER,0.1722004,2010,0.1315072,0.110986
122,0.096358,0.1051408,BIKANER,2011,BIKANER,0.1744049,2011,0.126461,0.1160813
123,0.1064438,0.1118701,BIKANER,2012,BIKANER,0.1609131,2012,0.1202872,0.1069117
124,0.1022478,0.1089793,BIKANER,2013,BIKANER,0.1662666,2013,0.1180528,0.1040931
125,0.1034936,0.113239,BIKANER,2014,BIKANER,0.1579314,2014,0.1114741,0.1052138
126,0.1052184,0.1102297,BIKANER,2015,BIKANER,0.1713236,2015,0.1293688,0.1163075
127,0.1182572,0.1211657,BIKANER,2016,BIKANER,0.1684703,2016,0.1212831,0.1143972
128,0.1137783,0.118429,BIKANER,2017,BIKANER,0.1320773,2017,0.1031141,0.0981928
129,0.1088684,0.1137957,BIKANER,2018,BIKANER,0.1389867,2018,0.1131214,0.1060473
130,0.1124971,0.1230549,BIKANER,2019,BIKANER,0.1734061,2019,0.1273475,0.104966
131,0.246817,0.2333564,BUNDI,2001,BUNDI,0.2168446,2001,0.1712525,0.194246
132,0.2586764,0.2694154,BUNDI,2002,BUNDI,0.1942179,2002,0.1511276,0.1591142
133,0.1869794,0.1990506,BUNDI,2003,BUNDI,0.2524328,2003,0.1860252,0.2282454
134,0.2493165,0.2604357,BUNDI,2004,BUNDI,0.2301365,2004,0.2179241,0.2732754
135,0.3067578,0.2736533,BUNDI,2005,BUNDI,0.2725225,2005,0.2091282,0.246939
136,0.2831706,0.2641225,BUNDI,2006,BUNDI,0.2380324,2006,0.2089496,0.2493475
137,0.2925914,0.2680078,BUNDI,2007,BUNDI,0.2598931,2007,0.1775644,0.2271
138,0.2693548,0.2802924,BUNDI,2008,BUNDI,0.2415185,2008,0.1930884,0.2475976
139,0.2933557,0.2757739,BUNDI,2009,BUNDI,0.2379766,2009,0.185109,0.245171
140,0.2748408,0.253457,BUNDI,2010,BUNDI,0.2632764,2010,0.1821372,0.2200236
141,0.2748408,0.253457,BUNDI,2010,BUNDI,0.2632764,2010,0.1821372,0.2200236
142,0.2748408,0.253457,BUNDI,2010,BUNDI,0.2632764,2010,0.1821372,0.2200236
143,0.2748408,0.253457,BUNDI,2010,BUNDI,0.2632764,2010,0.1821372,0.2200236
144,0.2849611,0.3380571,BUNDI,2011,BUNDI,0.2734233,2011,0.2013238,0.2571116
145,0.3334262,0.3077281,BUNDI,2012,BUNDI,0.3244404,2012,0.1913819,0.238815
146,0.3114239,0.3430732,BUNDI,2013,BUNDI,0.2779764,2013,0.2098022,0.2859987
147,0.3482311,0.3823416,BUNDI,2014,BUNDI,0.2709983,2014,0.2117723,0.2654812
148,0.3447132,0.3492472,BUNDI,2015,BUNDI,0.2391775,2015,0.1812518,0.2413577
149,0.3256697,0.3296952,BUNDI,2016,BUNDI,0.2705525,2016,0.1930006,0.2558893
150,0.3498928,0.3437586,BUNDI,2017,BUNDI,0.2276988,2017,0.1849358,0.2443933
151,0.3058048,0.3061155,BUNDI,2018,BUNDI,0.3040106,2018,0.1994878,0.2519526
152,0.3184679,0.3710974,BUNDI,2019,BUNDI,0.3078913,2019,0.2085834,0.2790964
153,0.0912024,0.0934385,CHURU,2001,CHURU,0.1418006,2001,0.1179609,0.1103343
154,0.1046093,0.1015551,CHURU,2002,CHURU,0.0987665,2002,0.0903042,0.0856841
155,0.0805681,0.0875265,CHURU,2003,CHURU,0.1738508,2003,0.1246856,0.1112912
156,0.1017139,0.1000545,CHURU,2004,CHURU,0.1310293,2004,0.1096585,0.1014336
157,0.0961905,0.1034554,CHURU,2005,CHURU,0.1496278,2005,0.1156117,0.1057651
158,0.1011349,0.1039809,CHURU,2006,CHURU,0.1180504,2006,0.1028775,0.1006165
159,0.1060892,0.1047548,CHURU,2007,CHURU,0.1619862,2007,0.1208677,0.1127051
160,0.1060274,0.1052185,CHURU,2008,CHURU,0.1456094,2008,0.121761,0.1173096
161,0.1150045,0.1176498,CHURU,2009,CHURU,0.118351,2009,0.1017698,0.1023356
162,0.102559,0.1068005,CHURU,2010,CHURU,0.2201086,2010,0.1546322,0.1243463
163,0.102559,0.1068005,CHURU,2010,CHURU,0.2201086,2010,0.1546322,0.1243463
